noun,wikipedia
frequency,"Frequency (symbol 
  
    
      
        f
      
    
    {\displaystyle f}
  ), most often measured in hertz (symbol: Hz), is the number of occurrences of a repeating event per unit of time."
frequentative,"In grammar, a frequentative form (abbreviated FREQ or FR) of a word is one that indicates repeated action but is not to be confused with iterative aspect."
fresco,"Fresco (pl. frescos or frescoes) is a technique of mural painting executed upon freshly laid (""wet"") lime plaster."
freshet,"The term freshet is most commonly used to describe a snowmelt, an annual high water event on rivers resulting from snow and river ice melting."
freshman,"A freshman, fresher, first year, or colloquially frosh, is a person in the first year at an educational institution, usually a secondary school or at the college and university level, but also in other forms of post-secondary educational institutions."
fret,"A fret is any of the thin strips of material, usually metal wire, inserted laterally at specific positions along the neck or fretboard of a stringed instrument."
fretsaw,The fretsaw is a bow saw used for intricate cutting work which often incorporates tight curves.
fretwork,"Fretwork is an interlaced decorative design that is either carved in low relief on a solid background, or cut out with a fretsaw, coping saw, jigsaw or scroll saw."
friability,"In materials science, friability ( FRY-ə-BIL-ə-tee), the condition of being friable, describes the tendency of a solid substance to break into smaller pieces under duress or contact, especially by rubbing."
friar,A friar is a member of one of the mendicant orders of the Roman Catholic church.
fricassee,Fricassee or fricassée  is a stew made with pieces of meat that have been browned in butter then served in a sauce flavored with the cooking stock.
fricative,A fricative is a consonant produced by forcing air through a narrow channel made by placing two articulators close together.
friction,"Friction is the force resisting the relative motion of solid surfaces, fluid layers, and material elements sliding against each other."
friendship,Friendship is a relationship of mutual affection between people.
frieze,"In classical architecture, the frieze  is the wide central section of an entablature and may be plain in the Ionic or Doric order, or decorated with bas-reliefs."
frigate,A frigate () is a type of warship.
frisking,Frisking (also called a patdown or pat down) is a search of a person's outer clothing wherein a person runs their hands along the outer garments of another to detect any concealed weapons or objects.
frisson,"Frisson (UK:  FREE-son, US:  free-SOHN French: [fʁisɔ̃]; French for ""shiver""), also known as aesthetic chills or psychogenic shivers, is a psychophysiological response to rewarding stimuli (including music, films, stories, people, photos, and rituals) that often induces a pleasurable or otherwise positively-valenced affective state and transient paresthesia (skin tingling or chills), sometimes along with piloerection (goose bumps) and mydriasis (pupil dilation)."
frittata,"Frittata is an egg-based Italian dish similar to an omelette or crustless quiche or scrambled eggs, enriched with additional ingredients such as meats, cheeses, or vegetables."
fritter,"A fritter is a portion of meat, seafood, fruit, vegetables, or other ingredients which have been battered or breaded, or just a portion of dough without further ingredients, that is deep-fried."
frizz,"Frizz is hair that does not align with the surrounding hair, but stands up or curls independently, creating a fuzzy or irregular texture."
frock,"Frock has been used since Middle English as the name for an article of clothing, typically coat-like, for men and women."
frog,"A frog is any member of a diverse and largely carnivorous group of short-bodied, tailless amphibians composing the order Anura (ἀνούρα, literally without tail in Ancient Greek)."
frogbit,Frogbit or frog's bit is a common name for several plants in the family Hydrocharitaceae and may refer to:
frogfish,"Frogfishes are any member of the anglerfish family Antennariidae, of the order Lophiiformes."
froghopper,"The froghoppers, or the superfamily Cercopoidea, are a group of hemipteran insects in the suborder Auchenorrhyncha."
frogman,"A frogman is someone who is trained in scuba diving or swimming underwater in a tactical capacity that includes military, and in some European countries, police work."
frogmouth,"The frogmouths (Podargidae) are a group of nocturnal birds related to owlet-nightjars, swifts, and hummingbirds."
frond,"A frond is a large, divided leaf."
frontage,Frontage is the boundary between a plot of land or a building and the road onto which the plot or building fronts.
frontbencher,"In many parliaments and other similar assemblies, seating is typically arranged in banks or rows, with each political party or caucus grouped together."
frontier,A frontier is the political and geographical area near or beyond a boundary.
frost,"Frost is a thin layer of ice on a solid surface, which forms from water vapor that deposits onto a freezing surface."
frostbite,"Frostbite is a skin injury that occurs when exposed to extremely low temperatures, causing the freezing of the skin or other tissues, commonly affecting the fingers, toes, nose, ears, cheeks and chin areas."
frostweed,Frostweed is a common name for several plants and may refer to:
frown,"A frown (also known as a scowl) is a facial expression in which the eyebrows are brought together, and the forehead is wrinkled, usually indicating displeasure, sadness or worry, or less often confusion or concentration."
fructification,"Fructification (Latin: fructificatio) are the generative parts of the plant (flower and fruit) (as opposed to its vegetative parts: trunk, roots and leaves)."
